id,serpro__company_age_months,serpro__num_owners,serpro__num_owners_added_last_12m,serpro__avg_owner_tenure_months,serpro__num_key_executive_owners,serpro__key_executive_owner_fraction,serpro__num_non_executive_owners,bacen__min_account_age_months,bacen__max_account_age_months,bacen__has_bacen_last_1m,bacen__has_over30_last_1m,bacen__has_over30_cc_last_1m,bacen__has_over60_last_1m,bacen__has_over60_cc_last_1m,bacen__has_writeoff_last_12m,bacen__has_writeoff_last_48m,bacen__has_writeoff_ever,bacen__ratio_revolving_to_total_cc_last_1m,bacen__utilization_last_1m,bacen__utilization_cc_last_1m,bacen__overdue_ratio_last_1m,bacen__overdue_ratio_cc_last_1m,bacen__over30_ratio_last_1m,bacen__over30_ratio_cc_last_1m,bacen__over60_ratio_last_1m,bacen__over60_ratio_cc_last_1m,bacen__due_in_30_ratio_last_1_month,bacen__due_in_30_ratio_cc_last_1_month,target
1,76.17582101,1.0,0.0,76.17582101,1.0,1.0,0.0,30.16129032,30.16129032,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9617248352291151,0.9227170846992452,0.0,0.0,0.0,0.0,0.0,0.0,0.017138979982281904,0.21141267058016314,0
2,1.63537858,2.0,2.0,1.63537858,1.0,0.5,1.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,0
3,76.70441532,3.0,0.0,42.26530914,1.0,0.33333334,2.0,71.22580645,71.22580645,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26338834653808585,0.39127230259245943,0.0,0.0,0.0,0.0,0.0,0.0,0.1246409375726541,0.18515833096770454,0
4,180.50795587,2.0,0.0,180.50795587,2.0,1.0,0.0,0.0,172.67741935,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.8540642805981963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7557033138499418,0.0,0
5,13.69979615,2.0,0.0,13.69979615,2.0,1.0,0.0,12.58064516,12.58064516,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6,103.35096513,5.0,0.0,73.318707066,3.0,0.6,2.0,103.5483871,103.5483871,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12593829559153263,0.008758830596716059,0.0,0.0,0.0,0.0,0.0,0.0,0.12593829559153263,0.008758830596716059,0
7,146.34153226,1.0,0.0,88.98669355,1.0,1.0,0.0,81.93548387,135.90322581,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29262143050181666,0.9553650798810521,0.48298780573717304,0.0,0.0,0.0,0.0,0.0,0.0,0.1795662397885075,0.3843267678132598,0
8,484.22077248,5.0,3.0,122.814320866,2.0,0.4,3.0,467.80645161,467.80645161,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9211455391984955,0.15324014777149617,0.0,0.0,0.0,0.0,0.0,0.0,0.05422993342248766,0.13186748747689375,0
9,3.69515718,1.0,1.0,3.69515718,1.0,1.0,0.0,-0.22580645,2.25806452,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
10,18.92795736,1.0,0.0,18.92795736,1.0,1.0,0.0,18.96774194,19.03225806,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9996992213722922,0.9969057243565908,0.0,0.0,0.0,0.0,0.0,0.0,0.15352404945526663,0.9382916077376097,0
